,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Playoffs,Playoffs,Playoffs,Playoffs,,,,
Chi/Pit Cards/Steelers*,1944,1944,0,10,0,0,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,1945,2026,659,517,16,0.56,,,,,,36,36,30,,6,6,8,26
San Francisco 49ers,1946,2026,642,531,16,0.547,Rice,Montana,Gore,Rice,Seifert,31,40,26,0.606,5,5,8,23
Seattle Seahawks,1976,2026,416,376,1,0.525,Wilson,Wilson,Alexander,Largent,Carroll,21,20,19,0.513,2,2,4,12
Tampa Bay Buccaneers,1976,2026,326,466,1,0.412,Brooks,Winston,Wilder,Evans,Gruden,15,12,13,0.48,2,2,2,10
Tennessee Titans,1960,2026,482,529,6,0.477,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Houston Oilers,1960,1996,251,291,6,0.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,0.5,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2026,215,222,0,0.492,,,,,,10,8,10,,0,0,1,5
Washington Commanders,1932,2026,646,660,29,0.495,Green,Theismann,Riggins,Monk,Gibbs,26,25,21,0.543,5,3,5,16
Boston Braves,1932,1932,4,4,2,0.5,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,0.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2019,579,575,23,0.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,2020,2021,14,19,0,0.424,,,,,,1,0,1,,,0,,1
Washington Commanders,2022,2026,29,38,1,0.434,,,,,,1,2,1,,,,,0
